Product_Name,Category,Description,Material,Color,Price
Cresta Wardrobe,Storage,"This Wardrobe blends steel construction with minimalist design, offering comfort and style.",steel,mahogany,8789
Solace Table Lamp,Lighting,"This Table Lamp blends bamboo construction with elegant design, offering comfort and style.",bamboo,walnut,8773
Luma Mirror,Decor,"A versatile Mirror designed for compact interiors, combining functionality and aesthetic appeal.",metal,grey,32281
Eterna Armchair,Chairs,"Elegant Armchair made with premium bamboo, featuring a walnut finish that complements any interior.",bamboo,walnut,25136
Mira Bedside Table,Tables,"A compact Bedside Table crafted from rattan with a green finish, perfect for modern homes.",rattan,green,17992
Cresta Chest of Drawers,Storage,"A stylish Chest of Drawers crafted from metal with a teak finish, perfect for modern homes.",metal,teak,39881
Luma Office Desk,Office,"A stylish Office Desk crafted from rattan with a cherry finish, perfect for modern homes.",rattan,cherry,24183
Haven Bookshelf,Storage,"Premium Bookshelf built with high-quality metal, providing durability and a rustic look.",metal,black,37314
Aurora Dining Chair,Chairs,"Elegant Dining Chair made with premium fabric, featuring a brown finish that complements any interior.",fabric,brown,5039
Eterna Velvet Sofa,Sofas,"Premium Velvet Sofa built with high-quality metal, providing durability and a modern look.",metal,cherry,46452
Arden Accent Chair,Chairs,"A versatile Accent Chair designed for minimalist interiors, combining functionality and aesthetic appeal.",marble,blue,44307
Napa Wall Art,Decor,"A versatile Wall Art designed for modern interiors, combining functionality and aesthetic appeal.",rattan,brown,19029
Arden Dining Table,Dining,"A compact Dining Table crafted from glass with a grey finish, perfect for modern homes.",glass,grey,43163
Nova Pendant Light,Lighting,"Premium Pendant Light built with high-quality wood, providing durability and a modern look.",wood,black,14669
Solace Mirror,Decor,"Premium Mirror built with high-quality wood, providing durability and a compact look.",wood,grey,31820
Napa Hammock,Outdoor,"This Hammock blends marble construction with modern design, offering comfort and style.",marble,teak,34382
Cresta Patio Chair,Outdoor,"Premium Patio Chair built with high-quality steel, providing durability and a elegant look.",steel,beige,17250
Oslo Patio Chair,Outdoor,"Elegant Patio Chair made with premium metal, featuring a cherry finish that complements any interior.",metal,cherry,31413
Vega Office Chair,Chairs,"Elegant Office Chair made with premium rattan, featuring a cream finish that complements any interior.",rattan,cream,45771
Arden Office Desk,Office,"This Office Desk blends fabric construction with modern design, offering comfort and style.",fabric,black,3509
Cresta Recliner Sofa,Sofas,"This Recliner Sofa blends glass construction with compact design, offering comfort and style.",glass,blue,6324
Cresta Planter,Decor,"Premium Planter built with high-quality glass, providing durability and a minimalist look.",glass,cherry,37130
Haven Outdoor Table,Outdoor,"Elegant Outdoor Table made with premium marble, featuring a white finish that complements any interior.",marble,white,49057
Aurora Queen Bed Frame,Beds,"Elegant Queen Bed Frame made with premium leather, featuring a green finish that complements any interior.",leather,green,28298
Eterna Wall Art,Decor,"A versatile Wall Art designed for minimalist interiors, combining functionality and aesthetic appeal.",glass,mahogany,37667
Nova Lounge Chair,Chairs,"Elegant Lounge Chair made with premium rattan, featuring a teak finish that complements any interior.",rattan,teak,17892
Haven Lounge Chair,Chairs,"A versatile Lounge Chair designed for minimalist interiors, combining functionality and aesthetic appeal.",marble,white,23678
Luma Lounge Chair,Chairs,"A rustic Lounge Chair crafted from rattan with a white finish, perfect for modern homes.",rattan,white,47964
Cresta Leather Sofa,Sofas,"A rustic Leather Sofa crafted from steel with a grey finish, perfect for modern homes.",steel,grey,29353
Napa Bedside Table,Tables,"A versatile Bedside Table designed for rustic interiors, combining functionality and aesthetic appeal.",metal,white,10845
Aurora Pendant Light,Lighting,"A elegant Pendant Light crafted from leather with a cherry finish, perfect for modern homes.",leather,cherry,23722
Eterna Mirror,Decor,"This Mirror blends bamboo construction with compact design, offering comfort and style.",bamboo,cream,8888
Cresta Fabric Sofa,Sofas,"This Fabric Sofa blends wood construction with compact design, offering comfort and style.",wood,walnut,21346
Vega Lounge Chair,Chairs,"Elegant Lounge Chair made with premium fabric, featuring a brown finish that complements any interior.",fabric,brown,39169
Vega Outdoor Table,Outdoor,"Premium Outdoor Table built with high-quality rattan, providing durability and a modern look.",rattan,cream,4093
Eterna Bookshelf,Storage,"This Bookshelf blends leather construction with compact design, offering comfort and style.",leather,green,49166
Cresta Wardrobe,Storage,"Premium Wardrobe built with high-quality wood, providing durability and a compact look.",wood,mahogany,34291
Luma Deck Sofa,Outdoor,"Premium Deck Sofa built with high-quality plywood, providing durability and a luxurious look.",plywood,cream,6017
Nova Filing Cabinet,Office,"Elegant Filing Cabinet made with premium leather, featuring a blue finish that complements any interior.",leather,blue,5546
Mira Fabric Sofa,Sofas,"Premium Fabric Sofa built with high-quality wood, providing durability and a stylish look.",wood,beige,27309
Vega Desk Chair,Office,"This Desk Chair blends leather construction with rustic design, offering comfort and style.",leather,beige,10637
Eterna Leather Sofa,Sofas,"Premium Leather Sofa built with high-quality marble, providing durability and a rustic look.",marble,brown,46543
Oslo Armchair,Chairs,"A modern Armchair crafted from plywood with a grey finish, perfect for modern homes.",plywood,grey,8792
Cresta Table Lamp,Lighting,"Elegant Table Lamp made with premium steel, featuring a green finish that complements any interior.",steel,green,7429
Luma TV Unit,Storage,"Elegant TV Unit made with premium wood, featuring a black finish that complements any interior.",wood,black,37001
Nova Floor Lamp,Lighting,"A compact Floor Lamp crafted from marble with a brown finish, perfect for modern homes.",marble,brown,42446
Haven Patio Chair,Outdoor,"A modern Patio Chair crafted from rattan with a brown finish, perfect for modern homes.",rattan,brown,21202
Nova Wall Art,Decor,"Elegant Wall Art made with premium plywood, featuring a cream finish that complements any interior.",plywood,cream,36597
Oslo Armchair,Chairs,"A versatile Armchair designed for compact interiors, combining functionality and aesthetic appeal.",marble,cream,45862
Luma Curtains,Decor,"A versatile Curtains designed for rustic interiors, combining functionality and aesthetic appeal.",leather,cream,27402
Cresta Queen Bed Frame,Beds,"A versatile Queen Bed Frame designed for modern interiors, combining functionality and aesthetic appeal.",leather,grey,30830
Arden Bunk Bed,Beds,"A versatile Bunk Bed designed for minimalist interiors, combining functionality and aesthetic appeal.",glass,blue,10161
Haven Recliner Sofa,Sofas,"Elegant Recliner Sofa made with premium leather, featuring a beige finish that complements any interior.",leather,beige,19172
Luma Floor Lamp,Lighting,"This Floor Lamp blends leather construction with compact design, offering comfort and style.",leather,blue,6519
Cresta Filing Cabinet,Office,"A minimalist Filing Cabinet crafted from plywood with a cream finish, perfect for modern homes.",plywood,cream,4526
Eterna Patio Chair,Outdoor,"A compact Patio Chair crafted from marble with a cream finish, perfect for modern homes.",marble,cream,43144
Aurora Bedside Table,Tables,"A compact Bedside Table crafted from fabric with a blue finish, perfect for modern homes.",fabric,blue,40915
Mira Patio Chair,Outdoor,"Premium Patio Chair built with high-quality plywood, providing durability and a luxurious look.",plywood,mahogany,13016
Cresta Desk Chair,Office,"A versatile Desk Chair designed for stylish interiors, combining functionality and aesthetic appeal.",plywood,teak,8923
Oslo Planter,Decor,"This Planter blends plywood construction with stylish design, offering comfort and style.",plywood,cherry,8812
Nova Patio Chair,Outdoor,"Elegant Patio Chair made with premium glass, featuring a brown finish that complements any interior.",glass,brown,34837
Solace Chest of Drawers,Storage,"This Chest of Drawers blends steel construction with stylish design, offering comfort and style.",steel,white,15791
Eterna Office Desk,Office,"Premium Office Desk built with high-quality rattan, providing durability and a compact look.",rattan,black,44285
Oslo Bookshelf,Storage,"This Bookshelf blends rattan construction with compact design, offering comfort and style.",rattan,walnut,4369
Cresta Bar Stool,Dining,"This Bar Stool blends steel construction with rustic design, offering comfort and style.",steel,green,30445
Haven Lounge Chair,Chairs,"Premium Lounge Chair built with high-quality leather, providing durability and a luxurious look.",leather,teak,17724
Aurora Wall Art,Decor,"This Wall Art blends marble construction with luxurious design, offering comfort and style.",marble,brown,6709
Arden Dining Chair,Dining,"A versatile Dining Chair designed for modern interiors, combining functionality and aesthetic appeal.",rattan,beige,41436
Luma Hammock,Outdoor,"A compact Hammock crafted from steel with a teak finish, perfect for modern homes.",steel,teak,28402
Cresta Fabric Sofa,Sofas,"A rustic Fabric Sofa crafted from wood with a teak finish, perfect for modern homes.",wood,teak,27007
Napa Hammock,Outdoor,"Elegant Hammock made with premium plywood, featuring a walnut finish that complements any interior.",plywood,walnut,11757
Oslo Armchair,Chairs,"This Armchair blends plywood construction with elegant design, offering comfort and style.",plywood,green,46803
Solace Desk Chair,Office,"A elegant Desk Chair crafted from metal with a teak finish, perfect for modern homes.",metal,teak,47778
Eterna Planter,Decor,"Elegant Planter made with premium steel, featuring a teak finish that complements any interior.",steel,teak,16343
Vega Bunk Bed,Beds,"A modern Bunk Bed crafted from leather with a cream finish, perfect for modern homes.",leather,cream,23825
Oslo Velvet Sofa,Sofas,"Premium Velvet Sofa built with high-quality leather, providing durability and a stylish look.",leather,mahogany,6108
Nova Dining Table,Tables,"This Dining Table blends wood construction with modern design, offering comfort and style.",wood,brown,30845
Luma Dining Table,Tables,"Premium Dining Table built with high-quality plywood, providing durability and a modern look.",plywood,black,24732
Luma Leather Sofa,Sofas,"Elegant Leather Sofa made with premium rattan, featuring a grey finish that complements any interior.",rattan,grey,38725
Solace Deck Sofa,Outdoor,"This Deck Sofa blends wood construction with compact design, offering comfort and style.",wood,white,21572
Cresta Desk Chair,Office,"This Desk Chair blends bamboo construction with compact design, offering comfort and style.",bamboo,grey,8665
Napa Daybed,Beds,"A elegant Daybed crafted from marble with a blue finish, perfect for modern homes.",marble,blue,37189
Nova Garden Bench,Outdoor,"A luxurious Garden Bench crafted from bamboo with a walnut finish, perfect for modern homes.",bamboo,walnut,32422
Solace Daybed,Beds,"This Daybed blends leather construction with stylish design, offering comfort and style.",leather,walnut,35467
Solace Queen Bed Frame,Beds,"Premium Queen Bed Frame built with high-quality fabric, providing durability and a compact look.",fabric,mahogany,7677
Arden Dining Table,Tables,"A versatile Dining Table designed for compact interiors, combining functionality and aesthetic appeal.",rattan,teak,16925
Aurora Recliner Sofa,Sofas,"Premium Recliner Sofa built with high-quality metal, providing durability and a elegant look.",metal,mahogany,28006
Mira Lounge Chair,Chairs,"A versatile Lounge Chair designed for stylish interiors, combining functionality and aesthetic appeal.",wood,beige,44883
Mira Dining Chair,Chairs,"A versatile Dining Chair designed for luxurious interiors, combining functionality and aesthetic appeal.",leather,white,28329
Cresta Desk Chair,Office,"A rustic Desk Chair crafted from plywood with a cherry finish, perfect for modern homes.",plywood,cherry,6957
Solace Daybed,Beds,"A versatile Daybed designed for minimalist interiors, combining functionality and aesthetic appeal.",wood,cream,27526
Solace Bedside Table,Tables,"A modern Bedside Table crafted from wood with a mahogany finish, perfect for modern homes.",wood,mahogany,32872
Arden Bookshelf,Storage,"A luxurious Bookshelf crafted from glass with a cherry finish, perfect for modern homes.",glass,cherry,48284
Vega Recliner Sofa,Sofas,"A rustic Recliner Sofa crafted from fabric with a white finish, perfect for modern homes.",fabric,white,43799
Solace Rug,Decor,"A versatile Rug designed for elegant interiors, combining functionality and aesthetic appeal.",wood,mahogany,21858
Arden Bedside Table,Tables,"A modern Bedside Table crafted from wood with a cherry finish, perfect for modern homes.",wood,cherry,20677
Aurora Filing Cabinet,Office,"Premium Filing Cabinet built with high-quality marble, providing durability and a rustic look.",marble,white,43223
Cresta Bedside Table,Tables,"A versatile Bedside Table designed for elegant interiors, combining functionality and aesthetic appeal.",leather,white,12718
Mira Wall Art,Decor,"A luxurious Wall Art crafted from fabric with a white finish, perfect for modern homes.",fabric,white,34242
Solace Bedside Table,Tables,"A elegant Bedside Table crafted from leather with a walnut finish, perfect for modern homes.",leather,walnut,28988
Eterna Rug,Decor,"This Rug blends wood construction with luxurious design, offering comfort and style.",wood,mahogany,17112
Oslo Lounge Chair,Chairs,"This Lounge Chair blends bamboo construction with elegant design, offering comfort and style.",bamboo,mahogany,39991
Haven Floor Lamp,Lighting,"A versatile Floor Lamp designed for modern interiors, combining functionality and aesthetic appeal.",rattan,green,45707
Vega Dining Table,Dining,"A rustic Dining Table crafted from glass with a black finish, perfect for modern homes.",glass,black,28493
Oslo Curtains,Decor,"This Curtains blends plywood construction with stylish design, offering comfort and style.",plywood,grey,47500
Vega Filing Cabinet,Office,"Elegant Filing Cabinet made with premium leather, featuring a grey finish that complements any interior.",leather,grey,3147
Vega Velvet Sofa,Sofas,"This Velvet Sofa blends bamboo construction with modern design, offering comfort and style.",bamboo,black,17908
Nova Sectional Sofa,Sofas,"This Sectional Sofa blends glass construction with stylish design, offering comfort and style.",glass,brown,40326
Luma Bar Stool,Dining,"Elegant Bar Stool made with premium wood, featuring a cream finish that complements any interior.",wood,cream,26138
Aurora Dining Table,Dining,"This Dining Table blends rattan construction with compact design, offering comfort and style.",rattan,mahogany,15816
Nova Dining Chair,Dining,"A versatile Dining Chair designed for luxurious interiors, combining functionality and aesthetic appeal.",fabric,white,33108
Oslo Mirror,Decor,"Elegant Mirror made with premium fabric, featuring a teak finish that complements any interior.",fabric,teak,38527
Mira Wall Art,Decor,"A versatile Wall Art designed for rustic interiors, combining functionality and aesthetic appeal.",rattan,cherry,15710
Arden Dining Table,Tables,"A compact Dining Table crafted from fabric with a walnut finish, perfect for modern homes.",fabric,walnut,5985
Mira Side Table,Tables,"A versatile Side Table designed for rustic interiors, combining functionality and aesthetic appeal.",glass,black,13716
Nova TV Unit,Storage,"Elegant TV Unit made with premium leather, featuring a beige finish that complements any interior.",leather,beige,9692
Luma Bunk Bed,Beds,"Premium Bunk Bed built with high-quality fabric, providing durability and a modern look.",fabric,green,29980
Cresta Outdoor Table,Outdoor,"A luxurious Outdoor Table crafted from wood with a mahogany finish, perfect for modern homes.",wood,mahogany,17146
Napa Bar Stool,Dining,"A versatile Bar Stool designed for luxurious interiors, combining functionality and aesthetic appeal.",bamboo,mahogany,43401
Arden Bookshelf,Office,"A compact Bookshelf crafted from fabric with a beige finish, perfect for modern homes.",fabric,beige,46970
Luma Bar Stool,Dining,"Elegant Bar Stool made with premium glass, featuring a white finish that complements any interior.",glass,white,25346
Haven Bar Stool,Dining,"A versatile Bar Stool designed for minimalist interiors, combining functionality and aesthetic appeal.",glass,brown,48143
Arden Bunk Bed,Beds,"This Bunk Bed blends glass construction with elegant design, offering comfort and style.",glass,blue,48052
Mira Queen Bed Frame,Beds,"Elegant Queen Bed Frame made with premium wood, featuring a blue finish that complements any interior.",wood,blue,40144
Napa Patio Chair,Outdoor,"Elegant Patio Chair made with premium marble, featuring a grey finish that complements any interior.",marble,grey,14332
Arden Garden Bench,Outdoor,"Elegant Garden Bench made with premium leather, featuring a beige finish that complements any interior.",leather,beige,12022
Aurora Bunk Bed,Beds,"This Bunk Bed blends glass construction with compact design, offering comfort and style.",glass,mahogany,25346
Aurora Wardrobe,Storage,"Elegant Wardrobe made with premium glass, featuring a cream finish that complements any interior.",glass,cream,9634
Mira Coffee Table,Tables,"Premium Coffee Table built with high-quality wood, providing durability and a minimalist look.",wood,blue,24572
Solace Deck Sofa,Outdoor,"Elegant Deck Sofa made with premium leather, featuring a blue finish that complements any interior.",leather,blue,44156
Luma Console Table,Tables,"Elegant Console Table made with premium marble, featuring a beige finish that complements any interior.",marble,beige,23881
Napa Office Desk,Office,"This Office Desk blends bamboo construction with rustic design, offering comfort and style.",bamboo,cream,40114
Oslo Bar Stool,Dining,"A minimalist Bar Stool crafted from plywood with a cream finish, perfect for modern homes.",plywood,cream,27220
Eterna Desk Chair,Office,"Elegant Desk Chair made with premium steel, featuring a grey finish that complements any interior.",steel,grey,48980
Cresta Bookshelf,Office,"Elegant Bookshelf made with premium bamboo, featuring a cherry finish that complements any interior.",bamboo,cherry,19240
Napa Queen Bed Frame,Beds,"A versatile Queen Bed Frame designed for luxurious interiors, combining functionality and aesthetic appeal.",fabric,mahogany,12209
Vega Velvet Sofa,Sofas,"Elegant Velvet Sofa made with premium rattan, featuring a beige finish that complements any interior.",rattan,beige,24566
Mira Rug,Decor,"Premium Rug built with high-quality rattan, providing durability and a minimalist look.",rattan,blue,41413
Cresta Sectional Sofa,Sofas,"Elegant Sectional Sofa made with premium wood, featuring a cherry finish that complements any interior.",wood,cherry,42131
Eterna Bookshelf,Storage,"Premium Bookshelf built with high-quality marble, providing durability and a compact look.",marble,cream,26214
Arden Planter,Decor,"Premium Planter built with high-quality fabric, providing durability and a stylish look.",fabric,teak,42039
Arden Desk Chair,Office,"Premium Desk Chair built with high-quality wood, providing durability and a minimalist look.",wood,grey,23731
Oslo Dining Chair,Chairs,"A elegant Dining Chair crafted from steel with a brown finish, perfect for modern homes.",steel,brown,48872
Eterna Lounge Chair,Chairs,"This Lounge Chair blends rattan construction with modern design, offering comfort and style.",rattan,grey,27586
Mira Curtains,Decor,"Premium Curtains built with high-quality wood, providing durability and a modern look.",wood,green,21778
Oslo Recliner Sofa,Sofas,"This Recliner Sofa blends bamboo construction with stylish design, offering comfort and style.",bamboo,green,20915
Napa Pendant Light,Lighting,"A versatile Pendant Light designed for elegant interiors, combining functionality and aesthetic appeal.",metal,cream,42611
Luma Daybed,Beds,"This Daybed blends marble construction with stylish design, offering comfort and style.",marble,blue,22625
Napa Office Chair,Chairs,"Elegant Office Chair made with premium glass, featuring a blue finish that complements any interior.",glass,blue,42904
Mira Garden Bench,Outdoor,"A versatile Garden Bench designed for rustic interiors, combining functionality and aesthetic appeal.",bamboo,white,49990
Solace Filing Cabinet,Office,"A minimalist Filing Cabinet crafted from steel with a walnut finish, perfect for modern homes.",steel,walnut,21707
Nova Sideboard,Dining,"This Sideboard blends bamboo construction with stylish design, offering comfort and style.",bamboo,grey,9850
Vega Desk Chair,Office,"This Desk Chair blends bamboo construction with modern design, offering comfort and style.",bamboo,cream,26581
Mira Single Bed,Beds,"A modern Single Bed crafted from bamboo with a mahogany finish, perfect for modern homes.",bamboo,mahogany,16415
Solace King Bed Frame,Beds,"This King Bed Frame blends leather construction with luxurious design, offering comfort and style.",leather,cream,35560
Vega Wardrobe,Storage,"A versatile Wardrobe designed for minimalist interiors, combining functionality and aesthetic appeal.",leather,white,28282
Napa Table Lamp,Lighting,"A versatile Table Lamp designed for rustic interiors, combining functionality and aesthetic appeal.",leather,black,27060
Nova Hammock,Outdoor,"Elegant Hammock made with premium marble, featuring a beige finish that complements any interior.",marble,beige,42485
Oslo Queen Bed Frame,Beds,"Premium Queen Bed Frame built with high-quality bamboo, providing durability and a minimalist look.",bamboo,green,29279
Luma Dining Table,Dining,"Premium Dining Table built with high-quality plywood, providing durability and a modern look.",plywood,mahogany,30425
Napa Bookshelf,Office,"This Bookshelf blends plywood construction with elegant design, offering comfort and style.",plywood,brown,18420
Vega Bookshelf,Storage,"Elegant Bookshelf made with premium plywood, featuring a white finish that complements any interior.",plywood,white,37303
Mira Lounge Chair,Chairs,"This Lounge Chair blends glass construction with rustic design, offering comfort and style.",glass,mahogany,42179
Napa Bedside Table,Tables,"A versatile Bedside Table designed for modern interiors, combining functionality and aesthetic appeal.",glass,green,28678
Luma Armchair,Chairs,"Premium Armchair built with high-quality leather, providing durability and a luxurious look.",leather,teak,13928
Mira Dining Chair,Chairs,"A versatile Dining Chair designed for luxurious interiors, combining functionality and aesthetic appeal.",marble,white,6695
Haven Chest of Drawers,Storage,"A stylish Chest of Drawers crafted from bamboo with a brown finish, perfect for modern homes.",bamboo,brown,49901
Luma Filing Cabinet,Office,"A versatile Filing Cabinet designed for elegant interiors, combining functionality and aesthetic appeal.",bamboo,teak,36962
Vega Dining Chair,Dining,"A versatile Dining Chair designed for stylish interiors, combining functionality and aesthetic appeal.",marble,cherry,16449
Luma Single Bed,Beds,"A versatile Single Bed designed for stylish interiors, combining functionality and aesthetic appeal.",rattan,brown,30984
Eterna Recliner Sofa,Sofas,"A versatile Recliner Sofa designed for minimalist interiors, combining functionality and aesthetic appeal.",leather,cherry,15154
Mira Console Table,Tables,"A versatile Console Table designed for compact interiors, combining functionality and aesthetic appeal.",plywood,green,42507
Vega Velvet Sofa,Sofas,"Elegant Velvet Sofa made with premium bamboo, featuring a white finish that complements any interior.",bamboo,white,16106
Napa Deck Sofa,Outdoor,"Elegant Deck Sofa made with premium bamboo, featuring a white finish that complements any interior.",bamboo,white,48154
Cresta Coffee Table,Tables,"Premium Coffee Table built with high-quality glass, providing durability and a minimalist look.",glass,cherry,42455
Vega Deck Sofa,Outdoor,"A elegant Deck Sofa crafted from bamboo with a mahogany finish, perfect for modern homes.",bamboo,mahogany,11042
Nova Bookshelf,Office,"Premium Bookshelf built with high-quality fabric, providing durability and a rustic look.",fabric,blue,13700
Mira Velvet Sofa,Sofas,"This Velvet Sofa blends wood construction with rustic design, offering comfort and style.",wood,brown,7094
Haven Velvet Sofa,Sofas,"A stylish Velvet Sofa crafted from bamboo with a cherry finish, perfect for modern homes.",bamboo,cherry,32272
Mira Single Bed,Beds,"Elegant Single Bed made with premium metal, featuring a walnut finish that complements any interior.",metal,walnut,9226
Vega Leather Sofa,Sofas,"A luxurious Leather Sofa crafted from fabric with a cream finish, perfect for modern homes.",fabric,cream,42923
Arden Planter,Decor,"Premium Planter built with high-quality plywood, providing durability and a stylish look.",plywood,blue,37682
Haven Fabric Sofa,Sofas,"Premium Fabric Sofa built with high-quality glass, providing durability and a rustic look.",glass,teak,8229
